Ano;Mes;Categoria;Sub-categoria;Producto;Pais;Cadena;Marca;Marca_propia;Peso_Volumen;Promocion;Precio_Normal;Precio_Oferta
2022;Febrero;Aguas;Agua mineral;Agua con gas;Chile;Lider;Vital;0;1,600;0;$630;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Brisa;0;0,600;0;$1.680;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Brisa;0;6,000;0;$6.880;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Brisa;0;0,600;1;$1.850;$1.480
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Brisa;0;6,000;0;$6.880;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Cristal;0;0,600;0;$1.660;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Cristal;0;0,600;0;$1.650;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Éxito;1;0,600;0;$680;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Éxito;1;1,500;0;$2.440;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Éxito;1;0,600;0;$680;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Éxito;1;1,500;0;$2.440;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Manantial;0;0,600;1;$2.220;$1.665
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Éxito;Manantial;0;0,600;1;$2.660;$1.862
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;Cristal;0;0,600;0;$1.500;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;Cristal;0;0,600;1;$1.700;$1.360
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;Manantial;0;0,600;0;$2.000;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;Manantial;0;0,600;1;$2.500;$2.000
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;Pet;0;0,600;0;$1.300;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;San Pellegrino;0;0,500;0;$5.400;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Colombia;Olímpica;San Pellegrino;0;0,500;0;$5.400;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Carrefour;1;0,500;0;€0,21;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Carrefour;1;1,250;0;€0,26;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;Carrefour;1;0,500;0;€0,19;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Font Vella;0;0,500;0;€0,80;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Font Vella;0;1,000;0;€0,85;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;Font Vella;0;1,000;0;€1,17;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Fonter;0;1,000;0;€0,92;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;Fonter;0;1,000;0;€0,95;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;Perrier;0;1,000;0;€1,37;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;San Pellegrino;0;1,000;0;€1,16;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;San Pellegrino;0;1,000;0;€1,24;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;Solán de Cabras;0;0,750;0;€1,25;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Carrefour;Vicht Catalán;0;1,000;0;€1,18;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Vichy Catalán;0;1,000;0;€1,18;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Carrefour;Vichy Catalán;0;1,200;0;€1,52;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Mercadona;Aguadoy;0;0,050;0;€0,19;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Mercadona;Aguadoy;0;1,500;0;€0,31;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Mercadona;Aguadoy;0;0,050;0;€0,19;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Mercadona;Aguadoy;0;1,500;0;€0,29;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Mercadona;Parot;0;1,000;0;€0,70;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Mercadona;Parot;0;1,000;0;€0,70;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;España;Mercadona;Vichy Catalán;0;1,000;0;€1,18;
2022;Marzo;Aguas;Agua mineral;Agua con gas;España;Mercadona;Vichy Catalán;0;1,000;0;€1,18;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Luis;0;0,625;0;1,50;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Luis;0;2,500;0;2,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Luis;0;0,625;0;1,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Luis;0;2,500;0;2,50;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Mateo;0;0,600;0;1,59;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Mateo;0;1,500;0;2,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Mateo;0;0,600;0;1,59;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Mateo;0;1,500;0;2,50;
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Pellegrino;0;0,500;0;5,50;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Metro;San Pellegrino;0;0,500;1;5,50;5,34
2021;Noviembre;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;Cielo;0;0,625;0;1,30;
2022;Marzo;Aguas;Agua mineral;Agua con gas;Perú;Plaza Vea;Cielo;0;0,625;0;1,30;
